,fileid,age,mlu,utterance
81,Brown/Adam/adam06.xml,29,[2.9427168576104745],     nineteen twelve 
82,Brown/Adam/adam06.xml,29,[2.9427168576104745],     nineteen twelve cromer     
83,Brown/Adam/adam06.xml,29,[2.9427168576104745], cowboy     nineteen     
84,Brown/Adam/adam06.xml,29,[2.9427168576104745], children nineteen twelve     
85,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
86,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen     nineteen twelve 
87,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve nineteen twelve nineteen twelve nineteen twelve 
88,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
89,Brown/Adam/adam06.xml,29,[2.9427168576104745], nine two three nine ten twelve nine 
90,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
91,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
92,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
93,Brown/Adam/adam06.xml,29,[2.9427168576104745], huh nineteen twelve 
94,Brown/Adam/adam06.xml,29,[2.9427168576104745], huh nineteen twelve 
95,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve nineteen twelve nineteen twelve nineteen twelve 
96,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen cowboy twelve nineteen cowboy twelve 
97,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve nineteen twelve nineteen twelve 
98,Brown/Adam/adam06.xml,29,[2.9427168576104745], four nine ten twelve 
99,Brown/Adam/adam06.xml,29,[2.9427168576104745], i nineteen twelve 
100,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
101,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
102,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
103,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
104,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
105,Brown/Adam/adam06.xml,29,[2.9427168576104745], save baby save baby nineteen twelve 
106,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
107,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
108,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen 
109,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
110,Brown/Adam/adam06.xml,29,[2.9427168576104745], see it nineteen twelve 
111,Brown/Adam/adam07.xml,30,[3.4011799410029497], nineteen truck nineteen truck nineteen truck 
112,Brown/Adam/adam07.xml,30,[3.4011799410029497], nineteen truck nineteen truck nineteen truck nineteen truck nineteen truck 
113,Brown/Adam/adam08.xml,31,[3.7358834244080144], eight nine ten eleven two fourteen four cowboy 
114,Brown/Adam/adam08.xml,31,[3.7358834244080144], nine two three ten eleven nine one dis this 
115,Brown/Adam/adam08.xml,31,[3.7358834244080144], one two it twelve 
116,Brown/Adam/adam08.xml,31,[3.7358834244080144], twelve fourteen clock 
117,Brown/Adam/adam09.xml,31,[3.1538461538461537], eleven twelve teen 
118,Brown/Adam/adam09.xml,31,[3.1538461538461537], four teen eleven twelve 
119,Brown/Adam/adam09.xml,31,[3.1538461538461537], eleven twelve 
120,Brown/Adam/adam09.xml,31,[3.1538461538461537], nineteen twelve 
121,Brown/Adam/adam09.xml,31,[3.1538461538461537], twelve eleven thirteen fourteen 
122,Brown/Adam/adam09.xml,31,[3.1538461538461537], eleven twelve fourteen 
123,Brown/Adam/adam09.xml,31,[3.1538461538461537], four three six eleven mommy 
124,Brown/Adam/adam09.xml,31,[3.1538461538461537], get de the eleven 
125,Brown/Adam/adam11.xml,32,[3.574746008708273], three six eleven twelve fourteen nineteen 
126,Brown/Adam/adam11.xml,32,[3.574746008708273], one two three sixteen eleven twelve 
127,Brown/Adam/adam11.xml,32,[3.574746008708273], six seven twelve fourteen nineteen sixteen 
128,Brown/Adam/adam12.xml,33,[3.221070811744387], fourteen pinwheel 
129,Brown/Adam/adam13.xml,33,[3.085308056872038], fourteen 
130,Brown/Adam/adam13.xml,33,[3.085308056872038], fourteen o clock 
131,Brown/Adam/adam14.xml,34,[3.218961625282167], at twelve 
132,Brown/Adam/adam14.xml,34,[3.218961625282167], at twelve pull me ride 
133,Brown/Adam/adam14.xml,34,[3.218961625282167], fourteen 
134,Brown/Adam/adam14.xml,34,[3.218961625282167], fourteen clock you know 
135,Brown/Adam/adam14.xml,34,[3.218961625282167], nineteen clock 
136,Brown/Adam/adam14.xml,34,[3.218961625282167], fourteen clock 
137,Brown/Adam/adam14.xml,34,[3.218961625282167], fourteen clock 
138,Brown/Adam/adam15.xml,34,[3.5140845070422535], fourteen 
139,Brown/Adam/adam15.xml,34,[3.5140845070422535], nineteen 
140,Brown/Adam/adam15.xml,34,[3.5140845070422535], dat that nineteen 
141,Brown/Adam/adam15.xml,34,[3.5140845070422535], me wake up fourteen clock 
142,Brown/Adam/adam15.xml,34,[3.5140845070422535], four nineteen clock 
143,Brown/Adam/adam15.xml,34,[3.5140845070422535], nineteen clock 
144,Brown/Adam/adam15.xml,34,[3.5140845070422535], fourteen 
145,Brown/Adam/adam15.xml,34,[3.5140845070422535], fourteen clock cromer 
146,Brown/Adam/adam15.xml,34,[3.5140845070422535], nineteen clock how do you know 
147,Brown/Adam/adam15.xml,34,[3.5140845070422535], know nineteen clock 
148,Brown/Adam/adam15.xml,34,[3.5140845070422535], nineteen clock 
149,Brown/Adam/adam15.xml,34,[3.5140845070422535], fourteen clock no sir one nineteen clock i not 
150,Brown/Adam/adam16.xml,35,[3.360587002096436], bobo cry fourteen clock 
